Sales_Order_ID,Region,Country,SKU,Product_Description,Order_Date,Confirmed_Qty,Shipped_Qty,Backorder_USD,SLOB_Flag,Delivery_Delay_Days,OTIF_Status,Risk_Alert
SO-1048,EMEA,US,SKU-006,Maximize Efficient Bandwidth,2024-02-18,11,62,1935.95,Yes,4,Partial,High Risk
SO-1049,EMEA,IN,SKU-016,Facilitate Next-Generation E-Services,2024-02-19,44,24,176.82,Yes,2,Late,High Risk
SO-1050,APAC,BR,SKU-003,Redefine Back-End Convergence,2024-02-20,96,96,1583.64,No,2,Late,High Risk
SO-1051,EMEA,CN,SKU-020,Repurpose 24/7 Convergence,2024-02-21,90,76,1179.91,No,4,Partial,High Risk
SO-1052,APAC,UK,SKU-004,Synergize 24/7 Solutions,2024-02-22,99,65,960.09,No,11,On Time,High Risk
SO-1053,LATAM,IN,SKU-019,Maximize Granular Platforms,2024-02-23,17,43,841.07,No,10,Late,Normal
SO-1054,APAC,US,SKU-003,Facilitate Next-Generation E-Services,2024-02-24,35,5,1569.34,No,7,On Time,High Risk
SO-1055,LATAM,BR,SKU-019,Incubate Robust Action-Items,2024-02-25,83,7,1278.72,Yes,8,Late,High Risk
SO-1056,LATAM,DE,SKU-020,Maximize Granular Platforms,2024-02-26,99,81,1610.09,No,9,Partial,High Risk
SO-1057,NA,CN,SKU-007,Empower End-To-End Technologies,2024-02-27,43,96,1806.3,No,4,Partial,High Risk
SO-1058,APAC,CN,SKU-020,Visualize Revolutionary Technologies,2024-02-28,16,66,1234.53,No,14,Late,High Risk
SO-1059,NA,UK,SKU-009,Syndicate Plug-And-Play E-Commerce,2024-02-29,77,67,1960.93,No,-3,Partial,High Risk
SO-1060,APAC,CN,SKU-001,Matrix Compelling Portals,2024-03-01,67,29,1216.18,No,11,Late,High Risk
SO-1061,APAC,IN,SKU-008,Maximize Efficient Bandwidth,2024-03-02,84,60,1273.29,No,4,Partial,High Risk
SO-1062,NA,US,SKU-007,Matrix Compelling Portals,2024-03-03,38,37,1109.63,No,7,On Time,High Risk
SO-1063,NA,CN,SKU-018,Embrace Plug-And-Play Markets,2024-03-04,45,42,182.0,No,8,Partial,Normal
SO-1064,APAC,CN,SKU-008,Maximize Magnetic Communities,2024-03-05,98,10,1452.79,No,8,On Time,High Risk
SO-1065,EMEA,DE,SKU-001,Orchestrate Plug-And-Play Methodologies,2024-03-06,30,62,1094.89,No,0,Partial,High Risk
SO-1066,LATAM,DE,SKU-011,Maximize Viral Content,2024-03-07,45,48,901.82,No,12,On Time,High Risk
SO-1067,NA,JP,SKU-018,Maximize Viral Content,2024-03-08,19,49,1820.94,Yes,0,Partial,High Risk
SO-1068,LATAM,BR,SKU-010,Maximize Magnetic Communities,2024-03-09,82,36,595.92,No,1,On Time,Normal
SO-1069,EMEA,IN,SKU-003,Redefine Out-Of-The-Box Networks,2024-03-10,33,49,1047.2,No,1,Late,High Risk
SO-1070,EMEA,CN,SKU-007,Empower End-To-End Technologies,2024-03-11,73,65,1395.28,No,4,Late,High Risk
SO-1071,EMEA,CN,SKU-016,Redefine Back-End Convergence,2024-03-12,58,51,1592.94,No,6,On Time,High Risk
SO-1072,NA,US,SKU-016,Transform Customized Paradigms,2024-03-13,45,25,918.69,Yes,13,Partial,High Risk
SO-1073,EMEA,JP,SKU-020,Orchestrate Plug-And-Play Methodologies,2024-03-14,91,84,1684.18,No,5,On Time,High Risk
SO-1074,NA,BR,SKU-017,Maximize Turn-Key E-Business,2024-03-15,33,89,1537.84,No,10,Partial,High Risk
SO-1075,EMEA,JP,SKU-002,Cultivate Mission-Critical Web-Readiness,2024-03-16,32,79,132.47,No,4,Late,Normal
SO-1076,LATAM,UK,SKU-001,Visualize Revolutionary Technologies,2024-03-17,71,40,91.72,No,5,Partial,Normal
SO-1077,LATAM,BR,SKU-016,Syndicate Plug-And-Play E-Commerce,2024-03-18,46,23,1241.61,No,7,Late,High Risk
SO-1078,APAC,CN,SKU-012,Embrace Plug-And-Play Markets,2024-03-19,21,24,694.83,No,-3,Partial,Normal
SO-1079,LATAM,CN,SKU-005,Embrace Plug-And-Play Markets,2024-03-20,64,61,418.26,No,10,Partial,Normal
SO-1080,APAC,BR,SKU-005,Cultivate Mission-Critical Web-Readiness,2024-03-21,22,22,1159.3,No,1,Partial,High Risk
SO-1081,LATAM,CN,SKU-009,Facilitate Next-Generation E-Services,2024-03-22,32,51,683.13,No,10,On Time,Normal
SO-1082,NA,IN,SKU-009,Incubate Robust Action-Items,2024-03-23,98,53,1074.53,No,0,On Time,High Risk
SO-1083,LATAM,BR,SKU-003,Transform Customized Paradigms,2024-03-24,39,18,920.24,Yes,-3,Late,High Risk
SO-1084,APAC,JP,SKU-019,Maximize Granular Platforms,2024-03-25,26,19,1169.53,Yes,4,Late,High Risk
SO-1085,APAC,BR,SKU-016,Empower End-To-End Technologies,2024-03-26,71,35,800.6,Yes,11,On Time,High Risk
SO-1086,EMEA,CN,SKU-016,Orchestrate Plug-And-Play Methodologies,2024-03-27,93,5,1395.34,Yes,11,Late,High Risk
SO-1087,NA,IN,SKU-003,Repurpose 24/7 Convergence,2024-03-28,98,58,360.13,No,5,On Time,Normal
SO-1088,LATAM,IN,SKU-020,Syndicate Plug-And-Play E-Commerce,2024-03-29,95,7,1393.0,No,5,Partial,High Risk
SO-1089,EMEA,UK,SKU-001,Empower End-To-End Technologies,2024-03-30,22,20,823.32,No,6,Late,Normal
SO-1090,LATAM,JP,SKU-020,Maximize Efficient Bandwidth,2024-03-31,68,91,1748.64,Yes,5,Late,High Risk
SO-1091,LATAM,DE,SKU-011,Maximize Granular Platforms,2024-04-01,28,61,1030.47,No,-1,On Time,High Risk
SO-1092,EMEA,DE,SKU-017,Synergize 24/7 Solutions,2024-04-02,58,79,1946.22,No,7,Late,High Risk
SO-1093,EMEA,BR,SKU-008,Redefine Back-End Convergence,2024-04-03,21,16,1203.87,No,2,Late,High Risk
SO-1094,EMEA,UK,SKU-004,Maximize Magnetic Communities,2024-04-04,70,78,447.7,No,-2,Partial,Normal
SO-1095,EMEA,US,SKU-006,Redefine Out-Of-The-Box Networks,2024-04-05,28,20,1643.58,No,3,Late,High Risk
SO-1096,EMEA,BR,SKU-008,Maximize Magnetic Communities,2024-04-06,85,76,690.17,No,14,Partial,High Risk
SO-1097,LATAM,UK,SKU-020,Cultivate Mission-Critical Web-Readiness,2024-04-07,18,80,695.24,No,-2,On Time,Normal
SO-1098,EMEA,JP,SKU-003,Enable Interactive Deliverables,2024-04-08,80,28,63.61,No,13,Late,High Risk
SO-1099,NA,JP,SKU-016,Embrace Plug-And-Play Markets,2024-04-09,37,32,1097.43,No,7,Partial,High Risk
SO-1100,APAC,JP,SKU-003,Visualize Revolutionary Technologies,2024-04-10,87,12,1068.85,Yes,8,On Time,High Risk
SO-1101,EMEA,JP,SKU-018,Visualize Revolutionary Technologies,2024-04-11,61,96,711.98,No,3,Late,Normal
SO-1102,EMEA,JP,SKU-014,Orchestrate Plug-And-Play Methodologies,2024-04-12,92,40,1788.43,No,2,On Time,High Risk
SO-1103,LATAM,UK,SKU-018,Maximize Viral Content,2024-04-13,25,94,257.5,No,-3,Late,Normal
SO-1104,EMEA,UK,SKU-002,Maximize Efficient Bandwidth,2024-04-14,78,12,660.2,No,13,On Time,High Risk
SO-1105,EMEA,IN,SKU-003,Syndicate Plug-And-Play E-Commerce,2024-04-15,21,62,643.17,No,7,On Time,Normal
SO-1106,EMEA,DE,SKU-016,Maximize Granular Platforms,2024-04-16,34,64,184.58,Yes,14,Partial,High Risk
SO-1107,LATAM,CN,SKU-009,Visualize Revolutionary Technologies,2024-04-17,61,54,962.29,No,13,On Time,High Risk
SO-1108,EMEA,JP,SKU-004,Maximize Efficient Bandwidth,2024-04-18,94,32,1375.57,No,3,Late,High Risk
SO-1109,APAC,US,SKU-001,Facilitate Next-Generation E-Services,2024-04-19,62,96,1023.31,No,13,Late,High Risk
SO-1110,LATAM,CN,SKU-004,Cultivate Mission-Critical Web-Readiness,2024-04-20,32,45,313.96,No,5,Partial,Normal
SO-1111,APAC,UK,SKU-001,Repurpose 24/7 Convergence,2024-04-21,25,68,754.57,No,13,Late,High Risk
SO-1112,LATAM,US,SKU-014,Embrace Plug-And-Play Markets,2024-04-22,66,31,5.19,No,4,Late,Normal
SO-1113,EMEA,US,SKU-016,Maximize Efficient Bandwidth,2024-04-23,48,67,1736.6,No,13,Late,High Risk
SO-1114,APAC,US,SKU-020,Maximize Magnetic Communities,2024-04-24,62,21,169.03,No,3,On Time,Normal
SO-1115,LATAM,IN,SKU-008,Cultivate Mission-Critical Web-Readiness,2024-04-25,51,77,1194.56,No,-3,On Time,High Risk
SO-1116,NA,UK,SKU-007,Matrix Compelling Portals,2024-04-26,67,37,1972.51,No,9,Late,High Risk
SO-1117,EMEA,US,SKU-003,Cultivate Mission-Critical Web-Readiness,2024-04-27,48,88,1073.18,No,13,Partial,High Risk
SO-1118,LATAM,JP,SKU-017,Orchestrate Plug-And-Play Methodologies,2024-04-28,23,81,1848.08,No,9,On Time,High Risk
SO-1119,NA,BR,SKU-001,Redefine Out-Of-The-Box Networks,2024-04-29,14,96,472.23,No,12,Partial,High Risk
